Nombre,Latitud,Longitud,Distancia_KM,Precio_Calculado,Colonia_Detectada_Google,Municipio,Estado
"Bosques de Comitán 2a Sección",16.2379796,-92.1588384,2.68,50,"Bosques de Comitán","Comitán de Domínguez","✅ OK"
"Bosques de Comitán 3a Sección",16.2382022,-92.1550008,2.33,50,"N/A","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Buenavista",16.228925,-92.1456384,2.57,50,"Buenavista","Comitán de Domínguez","✅ OK"
"Bugambilias",16.2668895,-92.134897,1.83,45,"Bugambilias","Comitán de Domínguez","✅ OK"
"Burócratas",16.2431301,-92.1217041,1.87,45,"Yalchivol","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Cajcam",16.2654666,-92.0483099,9.65,70,"N/A","Cajcam","❌ FUERA_DE_COMITAN"
"Calzada el Panteón",16.2378561,-92.1345902,1.45,45,"La Pileta","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Candelaria",16.2487898,-92.1437968,0.71,45,"Candelaria","Comitán de Domínguez","✅ OK"
"CANDELARIA",16.24819,-92.144353,0.79,45,"Candelaria","Comitán de Domínguez","✅ OK"
"Cash",16.2639561,-92.0971693,4.54,60,"N/A","Cash","❌ FUERA_DE_COMITAN"
"Cedro",16.2322026,-92.1475299,2.31,50,"Los Robles","Comitán de Domínguez","⚠️  SOSPECHOSA"
"CEDRO",16.224982,-92.132526,2.90,50,"Colinas del Sol","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Cerrito",16.2388133,-92.1358427,1.32,45,"Calzada el Panteón","Comitán de Domínguez","⚠️  SOSPECHOSA"
"CERRITO",16.2388133,-92.1358427,1.32,45,"Calzada el Panteón","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Cerrito Concepción",16.2510552,-92.1194033,1.92,45,"Cerrito Concepción Segunda Sección","Comitán de Domínguez","✅ OK"
"Cerrito de la Concepcion",16.2347403,-92.1339541,1.80,45,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Cerrito Nitre",16.2512588,-92.1174095,2.14,50,"Cerrito Concepción Segunda Sección","Comitán de Domínguez","✅ OK"
"Chacaljocom",16.2983565,-92.1855573,7.39,70,"N/A","Chacaljocom","❌ FUERA_DE_COMITAN"
"Chichima",16.2163718,-92.1146489,4.52,60,"Chichima","Comitán de Domínguez","✅ OK"
"Chichima Acapetahua",16.2072118,-92.1000163,6.26,70,"N/A","Comitán de Domínguez","⚠️  SOSPECHOSA"
"CHICHIMA ACAPETAHUA",16.2072118,-92.1000163,6.26,70,"N/A","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Chichimá Acapetahua",16.2072118,-92.1000163,6.26,70,"N/A","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Chichima Benito Juárez",16.2285751,-92.1069816,4.07,60,"Los Sabinos","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Chichima Concepción",16.2151383,-92.1278398,4.07,60,"Chichima Concepción","Comitán de Domínguez","✅ OK"
"Chichima Guadalupe",16.2049101,-92.1217041,5.35,60,"N/A","Comitán de Domínguez","⚠️  SOSPECHOSA"
